Date,TripID,Alv2Col,Col2Swan,Swan2Rose,Rose2Cray,Cray2Wil,Wil2Kolb
6/10/2014 0:00,100,,66,58,65,122,
6/10/2014 0:00,1007,,,,,131,
6/10/2014 0:00,102,55,62,51,,,
6/10/2014 0:00,1020,,,,123,,
6/10/2014 0:00,1032,,,50,72,133,
6/10/2014 0:00,1045,,,55,111,109,138
6/10/2014 0:00,1046,,,46,,,
6/10/2014 0:00,1048,67,57,56,79,143,
6/10/2014 0:00,1051,,,,,110,160
6/10/2014 0:00,1055,,82,,,,
6/10/2014 0:00,1058,,,70,91,,
6/10/2014 0:00,1060,,,46,72,110,156
6/10/2014 0:00,1063,,,,,109,
6/10/2014 0:00,1064,,,,,106,125
6/10/2014 0:00,1066,,,,,125,
6/10/2014 0:00,1069,,,498,,,
6/10/2014 0:00,108,,,62,91,,
6/10/2014 0:00,1092,73,,,,,
6/10/2014 0:00,1094,,,47,87,116,163
6/10/2014 0:00,1097,,63,,,,
6/10/2014 0:00,1100,,124,232,,,
6/10/2014 0:00,1101,,66,51,,,153
6/10/2014 0:00,1111,,16,,,,
6/10/2014 0:00,1116,43,78,50,69,105,153
6/10/2014 0:00,1118,,,,,,82
6/10/2014 0:00,112,51,77,,,,
6/10/2014 0:00,1127,,131,,,,
6/10/2014 0:00,113,50,74,62,,,
6/10/2014 0:00,1130,67,84,,,,
6/10/2014 0:00,1137,,,,,106,
6/10/2014 0:00,1139,,,,76,121,
6/10/2014 0:00,1140,,69,74,,,
6/10/2014 0:00,1146,,,,,,156
6/10/2014 0:00,1147,,,,,118,151
6/10/2014 0:00,115,,,97,111,,
6/10/2014 0:00,1157,63,85,,,,
6/10/2014 0:00,1167,,,,,,149
6/10/2014 0:00,1174,,85,50,,,
6/10/2014 0:00,1175,63,112,66,80,98,195
6/10/2014 0:00,1178,,,,,,93
6/10/2014 0:00,118,59,62,109,115,,
6/10/2014 0:00,1180,,,57,104,110,143
6/10/2014 0:00,1184,,,,,,81
6/10/2014 0:00,1186,,,,,104,
6/10/2014 0:00,120,,,50,100,118,148
6/10/2014 0:00,1200,,,,,115,
6/10/2014 0:00,1205,,,52,75,131,
6/10/2014 0:00,1207,52,58,47,73,113,
6/10/2014 0:00,1211,,,595,,,
6/10/2014 0:00,1213,50,51,46,61,,
6/10/2014 0:00,1220,,,,,126,165
6/10/2014 0:00,1221,,62,50,169,120,
6/10/2014 0:00,123,48,85,54,78,110,157
6/10/2014 0:00,1231,73,82,42,76,118,
6/10/2014 0:00,1236,,,48,84,116,126
6/10/2014 0:00,1238,57,59,50,107,,
6/10/2014 0:00,124,,,,,,109
6/10/2014 0:00,1242,62,51,,,,
6/10/2014 0:00,1250,,120,77,77,,
6/10/2014 0:00,1252,,74,,,,
6/10/2014 0:00,1256,,104,55,83,135,
6/10/2014 0:00,1258,,,50,80,157,
6/10/2014 0:00,1265,,,,606,118,154
6/10/2014 0:00,1273,,,71,,,
6/10/2014 0:00,1281,,,55,88,124,181
6/10/2014 0:00,1283,,,,,97,149
6/10/2014 0:00,1293,,,,,,108
6/10/2014 0:00,1294,,,,,114,
6/10/2014 0:00,130,,62,,,,
6/10/2014 0:00,1310,,,,110,,
6/10/2014 0:00,1318,,,,,,160
6/10/2014 0:00,1319,,,,,,86
6/10/2014 0:00,1321,,,,,,83
6/10/2014 0:00,1329,,,55,86,,
6/10/2014 0:00,1335,,93,55,72,116,154
6/10/2014 0:00,1339,,,58,66,129,
6/10/2014 0:00,134,78,73,55,,,
6/10/2014 0:00,1344,67,61,56,64,131,
6/10/2014 0:00,1347,,,,127,,
6/10/2014 0:00,1348,,,,,177,
6/10/2014 0:00,1349,66,,,,,
6/10/2014 0:00,1350,,,,,163,160
6/10/2014 0:00,1352,60,73,90,61,120,
6/10/2014 0:00,1356,,,74,57,,
6/10/2014 0:00,1357,,,55,75,112,
6/10/2014 0:00,1360,,,46,,,
6/10/2014 0:00,1367,,,,,106,120
6/10/2014 0:00,1371,,,,,159,
6/10/2014 0:00,1381,58,105,,,,
6/10/2014 0:00,1384,,,,276,,
6/10/2014 0:00,1389,,,,,,148
6/10/2014 0:00,139,63,70,58,177,112,110
6/10/2014 0:00,1393,50,78,50,,,
6/10/2014 0:00,1397,,,59,107,,
6/10/2014 0:00,14,,,,,148,79
6/10/2014 0:00,1400,,,,,189,
6/10/2014 0:00,1401,255,,,,,
6/10/2014 0:00,1403,,,,,152,161
6/10/2014 0:00,1407,,,,,129,166
6/10/2014 0:00,1408,,97,62,111,,
6/10/2014 0:00,1416,,,247,,,
6/10/2014 0:00,1420,240,,,,,
6/10/2014 0:00,1422,53,341,,,,
6/10/2014 0:00,1424,58,85,,,,
6/10/2014 0:00,143,,85,,,,
6/10/2014 0:00,1434,,,89,,,
6/10/2014 0:00,1435,,,,89,,
6/10/2014 0:00,1442,,,59,,,
6/10/2014 0:00,1443,,,58,,,
6/10/2014 0:00,1445,,97,47,83,,
6/10/2014 0:00,145,,,,,,344
6/10/2014 0:00,1450,,,,108,573,
6/10/2014 0:00,1470,51,69,48,,,163
6/10/2014 0:00,1473,,,101,130,,
6/10/2014 0:00,1476,,,139,,,
6/10/2014 0:00,1478,,,104,,,
6/10/2014 0:00,1479,,,,,,375
6/10/2014 0:00,1485,94,,,,,
6/10/2014 0:00,1486,182,62,59,,,
6/10/2014 0:00,149,78,81,,,,
6/10/2014 0:00,1490,,,54,69,110,147
6/10/2014 0:00,1496,,148,370,,,
6/10/2014 0:00,1504,,317,58,,,
6/10/2014 0:00,1509,94,,,,,
6/10/2014 0:00,151,86,,,,,
6/10/2014 0:00,1510,,,46,,,
6/10/2014 0:00,1515,,,,,135,
6/10/2014 0:00,1519,,,,,,157
6/10/2014 0:00,152,,,,,164,
6/10/2014 0:00,1523,,,,103,,
