Date,TripID,Kolb2Wil,Wil2Cray,Cray2Rose,Rose2Swan,Swan2Col,Col2Alv
6/10/2014,0,96,,,,,
6/10/2014,1008,,,,68,58,
6/10/2014,1011,,,,108,339,
6/10/2014,1021,112,,,186,49,93
6/10/2014,1022,177,147,59,88,,
6/10/2014,1025,,,,,96,
6/10/2014,103,,,,79,,
6/10/2014,1033,,,163,97,,
6/10/2014,1041,,,,,,112
6/10/2014,1043,,173,,,,
6/10/2014,1059,,,,101,45,65
6/10/2014,106,,,,123,58,64
6/10/2014,1065,,,55,,,
6/10/2014,1067,,125,51,82,,
6/10/2014,1068,,,,104,,
6/10/2014,1075,,135,47,54,46,
6/10/2014,1080,,,,,84,
6/10/2014,1087,110,118,52,77,45,
6/10/2014,1089,95,,,,,
6/10/2014,1099,,139,,,,
6/10/2014,1100,,,,124,246,
6/10/2014,1107,,,,49,58,
6/10/2014,1109,177,135,,,,
6/10/2014,1110,,,,81,,
6/10/2014,1111,,,,,92,65
6/10/2014,1113,117,103,56,73,57,51
6/10/2014,1115,90,111,51,57,58,420
6/10/2014,1119,,,,76,59,
6/10/2014,1120,,,136,,,
6/10/2014,1126,,136,51,66,,
6/10/2014,1127,,,,,120,
6/10/2014,1138,,,,,81,
6/10/2014,114,,,,104,62,69
6/10/2014,1144,,,,81,53,
6/10/2014,1150,,98,,,,
6/10/2014,1152,90,,,,,
6/10/2014,1154,,,69,97,,
6/10/2014,1156,,,,,80,
6/10/2014,1162,,,,,53,89
6/10/2014,1163,,,,103,,
6/10/2014,1164,,,,,305,
6/10/2014,1165,108,136,,,,
6/10/2014,1170,,,,72,,
6/10/2014,1177,126,,,,,
6/10/2014,1179,,125,44,119,,
6/10/2014,1182,,,,89,,
6/10/2014,1187,,,,62,,
6/10/2014,1188,,,,,62,
6/10/2014,1190,106,124,52,84,108,
6/10/2014,1204,,177,51,,,
6/10/2014,1211,,,,107,,
6/10/2014,1214,,,47,,,
6/10/2014,1219,,166,48,76,66,55
6/10/2014,1222,,225,,,,
