Date,TripID,Camp2Mnt,Mnt2Park,Park2Euclid
5/12/2015,1004,,,207
5/12/2015,101,168,,137
5/12/2015,1015,,123,218
5/12/2015,102,,50,466
5/12/2015,1024,,,218
5/12/2015,1036,,,118
5/12/2015,1045,,120,
5/12/2015,106,105,227,
5/12/2015,1061,,38,
5/12/2015,1078,,34,
5/12/2015,1100,,88,
5/12/2015,1122,,22,
5/12/2015,1130,,,176
5/12/2015,1131,,,218
5/12/2015,1133,40,,
5/12/2015,1139,,,56
5/12/2015,1144,151,,
5/12/2015,1147,267,108,
5/12/2015,1154,,92,226
5/12/2015,1157,541,,
5/12/2015,1158,,,246
5/12/2015,1166,,108,
5/12/2015,1168,25,,
5/12/2015,1173,,104,
5/12/2015,1187,,,26
5/12/2015,119,,,234
5/12/2015,1198,,,149
5/12/2015,1199,,,52
5/12/2015,1200,105,73,223
5/12/2015,1203,,34,
5/12/2015,1205,,42,
5/12/2015,1213,,100,207
5/12/2015,1216,,,91
5/12/2015,1217,,,215
5/12/2015,1227,67,69,
5/12/2015,1234,,34,
5/12/2015,1235,118,,
5/12/2015,1237,,626,
5/12/2015,1246,,,76
5/12/2015,1247,,,195
5/12/2015,1250,,38,
5/12/2015,1251,,31,183
5/12/2015,1254,,54,160
5/12/2015,1258,90,115,41
5/12/2015,1263,82,,
5/12/2015,1266,48,77,
5/12/2015,1273,,34,
5/12/2015,1276,,84,161
5/12/2015,1279,229,16,234
5/12/2015,1281,,,60
5/12/2015,1284,,,211
5/12/2015,1286,167,134,
5/12/2015,1295,,96,
5/12/2015,1296,,,149
5/12/2015,1308,,43,
5/12/2015,1315,,,180
5/12/2015,1317,206,,
5/12/2015,1320,,,88
5/12/2015,1321,67,31,
5/12/2015,1323,,,179
5/12/2015,1324,,38,203
5/12/2015,1342,,103,227
5/12/2015,135,,104,215
5/12/2015,1355,,,37
5/12/2015,139,75,35,
5/12/2015,1395,,19,
5/12/2015,1398,349,76,
5/12/2015,1399,,,145
5/12/2015,1403,,,114
5/12/2015,1404,,,284
5/12/2015,1410,,42,
5/12/2015,1426,82,96,149
5/12/2015,1431,,22,157
5/12/2015,1438,,,246
5/12/2015,1445,,,272
5/12/2015,1446,,189,
5/12/2015,1448,78,104,
5/12/2015,1455,229,,
5/12/2015,1462,,621,
5/12/2015,1464,,66,
5/12/2015,1477,,38,215
5/12/2015,1485,,,176
5/12/2015,1499,,57,
5/12/2015,1500,48,50,160
5/12/2015,1502,,,184
5/12/2015,1509,,,37
5/12/2015,1510,,,157
5/12/2015,1511,,,53
5/12/2015,1512,,,234
5/12/2015,1513,,92,292
5/12/2015,1517,,,176
5/12/2015,1525,121,115,218
5/12/2015,1526,,58,
5/12/2015,1538,,31,
5/12/2015,1543,,100,145
5/12/2015,1544,,115,
5/12/2015,1555,182,24,
5/12/2015,1556,36,85,
5/12/2015,1558,,46,203
5/12/2015,1559,47,,
5/12/2015,1568,,54,141
5/12/2015,1583,109,27,
5/12/2015,1586,,,18
5/12/2015,1618,233,,
5/12/2015,1623,,58,
5/12/2015,1647,,39,
5/12/2015,1664,,97,168
5/12/2015,1666,,42,
5/12/2015,1683,,46,
5/12/2015,1684,,,157
5/12/2015,1685,422,38,
